Name,Wifi,Jacuzzi,Bar,Pool Inside,Break Fast,Spa,Gym,Air Conditioner,Synagogue,Parking,Beach,Room Service,Refrigerator,Sea View,Pet Friendly,Kids Room,Entertainment Staff,Events Hall,Taxi Service,Location,Rating
הבית במתתיהו,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,4.5
הבית הספרדי,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4
הבית העות'מאני,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,4.5
הבית של פטר,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
הבית של אתי - מלון בוטיק,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
הבית של מטי ורוני - גסט האוס מדברי,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
הבית של מייק,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,5
הגסטהאוס של ג'וחה,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.5
הגושרים מלון בטבע,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,4.5
הדס המדבר,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,4.5
הדר בכפר,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,4
"הדירה בב""ש",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ההוספיס האוסטרי,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
הכל כלול ישרוטל ספורט קלאב,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,4.5
התחנה הישנה,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
הוסטל הגליל,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.5
הוסטל הירקון 48,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4
הוסטל קרטון סי,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,3.5
הוסטל ירושלים,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4
הוסטל יפו העתיקה,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.5
הוטל סול,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,5
הוד העמק,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
הוילג' - מלון מטיילים על הירדן,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,4
המקום של חנה -דירות נופש- מקסימות-מיקום נפלא-מחירים הכי טובים שיש,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,4.5
המקום של רונית,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,5
המקום שלי במושבה,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,4.5
המלון ברחוב מנדלי,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,4.5
המלון הסקוטי,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,4.5
המלך דוד ירושלים,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,4.5
כרמים מלון ספא,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,4.5
כפר נבון,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,4
כפר רופין,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.5
כפר הנופש נופי גונן,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,3.5
כפר הנופש ראש הנקרה,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.5
"כפר הנופש רימונים נווה אטי""ב",0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4
כפר הנופש מעיין,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
כפר הנוקדים,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4.5
כלמא במדבר,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
כינר גליל,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4
ענבר ארוח כפרי בלב הגליל,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,4.5
ערבסק,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,5
עדן החורש,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,5
עדיליון,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,5
עכותל,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4.5
עכותיקה,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,4.5
עכומודיישן,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
עונות בירדן,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.5
על גג המדבר,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5
עלמא,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,5
עידן אחר בערבה,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,5
פנינה במושבה,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5
פסטורל כפר בלום,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,4.5
פרסטיז' אפרטמנטס,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.5
פרובנס בעמק,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,4
פרימה לינק,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,5
פרימה מילניום,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,4.5
פרימור,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.5
פונדק הוסטל וניו,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,5
פוריה - אכסניית נוער בישראל,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
פולי האוס מבית מלונות בראון,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4.5
פאבליקה ישרוטל הרצליה,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,4.5
פאוזי עאזר מבית אברהם הוסטלס,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.5
פאלאס,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1.5
פלח הרימון,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.5
פלסיו דומיין מלון בוטיק,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,4.5
פלאזה ביץ׳ תל אביב,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5
פינה בראש - חדרי אירוח,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,4.5
פינה בגליל,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
פינה בלב,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,5
פיפטיס,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
פילגרימס רזידנס,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,3.5
תל חי הוסטל,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,4
תמר וגפן,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
תמרין סוויטות בוטיק,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,5
ק אפרטמנטס סוויטס,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.5
קסם בכפר,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
קורא במדבר,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,5
קוקו הוטל,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.5
קולוני סוויטס,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,4.5
קומפלקס סוויטות נופש ריץ' אילת,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,3.5
קלאב הוטל אילת,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,3
קמפינג דפנה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
קמפינג ארץ בראשית,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5
קמפינג ירוק על הנחל,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
קיסר פרמייר טבריה,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,4.5
קיסר פרמייר אילת,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,4.5
קיסר פרמייר ירושלים,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,4.5
קיט פרוד,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,4.5
קידמת הגליל,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,4.5
שרביט הקסם,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,5
שביל החלב לינה וארוחת בוקר,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
שקיעה לבנה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
שאטו גלילי,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,5
שאטו גלילי יין וספא,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
שאטו דה רואה,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,4.5
שלווה בצפת העתיקה,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
שלווה על ההר,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4
שמים וארץ,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,5
שינקין הוטל,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,4.5
שירה בכינרת,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ורד המדבר,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,5
וולדורף אסטוריה,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,4.5
וילה סיגלה,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,4.5
וילה רוח צפתית,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,5
וילה רוקה טבריה,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
וילה גליל כנרת,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
וילה קיבל,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,4
וילה שרה,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,5
וילה וילינה אואזיס נווה צדק,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,4
וילה אליאנס,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,4
אזמרה בצפת - צימרים בוטיק,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,5
אחוזה באגם,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,3.5
אחוזה בלב העתיקה,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4.5
אחוזה גלילית,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
אחוזת נחלת,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
אחוזת רום,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,5
אחוזת טגנגה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
אחוזת דור,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
אחוזת הנופש ארוח רוקנשטין,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4.5
אחוזת הגפן,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
אחוזת השחר - אירוח בכליל,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5
אחוזת עטרה,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,2
אחוזת פול ויו,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.5
אחוזת קראון,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
אחוזת שבעת הכוכבים,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
אחוזת שלה,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
אחוזת וילאר,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,5
אחוזת אנילביץ',1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,4
אחוזת אסיינדה ביער,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,4.5
אחוזת אבן ספיר,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,5
אחוזת אוריאן,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
אחוזת אליעזר,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
אחוזת אלישבע,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,5
אחוזת לב החורש,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
אחוזת ליון,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,5
אחוזת לימן,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
אחוזת משכית,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,5
אחוזת מיא,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,5
אחוזת יערות הכרמל,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,4.5
אחוונא,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
אסטרל נירוונה קלאב,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,4.5
אסטרל פאלמה,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,4.5
אסטרל וילג',1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,4.5
אסטרל מאריס,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,4.5
אסכניית קאזה נובה,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4.5
אסמבלאז' בוטיק הוטל,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,4
אצל בלפר בכיכר,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4.5
אצל תקווה,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,5
ארצפת,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,4.5
ארבע עונות בגליל - מתחם צימרים באילניה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ארבל אירוח ואוכל כפרי - משק שביט,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,4.5
ארבלית בכפר,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,5
ארץ הגליל,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,4.5
ארץ ערבה,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,5
אראבלה,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,5
ארמונות אסתר,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,5
ארמון הירקון,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4
אריאה,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,5
אבני החושן,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,3
אברהם הוסטל תל-אביב,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,4.5
אברהם הוסטל אילת,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,4.5
אברהם הוסטל ירושלים,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4.5
אביב בגליל,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4
אביב בכרם,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,3.5
אגדה בכרם,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
אדווה - גבוה מעל כולם,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,5
אדום לבן,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.5
אכסניה ענטיקה,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4
אכסניית נוער ובית הארחה מצדה,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4
אכסניית סנט ג'ורג',1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,4
אכסניית גורדון אין,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,4
אכסניית עין גדי,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
אכסניית פלורנטין,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.5
אכסניית תל-אביב הקטנה,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.5
אכסניית שער השלשלת,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,3.5
"אכסניית אנ""א בני דן תל אביב",1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,3.5
"אכסניית אנ""א בית שאן",1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,4
"אכסניית אנ""א כרי דשא",1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,4
"אכסניית אנ""א ערד",1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,4
"אכסניית אנ""א עין גדי",1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,4
"אכסניית אנ""א פקיעין",1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,4
"אכסניית אנ""א פוריה",1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,4
"אכסניית אנ""א שלומי",1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,4
"אכסניית אנ""א אגרון",1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,3.5
"אכסניית אנ""א אילת",1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,4
"אכסניית אנ""א מצפה רמון",1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,4
"אכסניית אנ""א מעיין חרוד",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3.5
אכסניית יהודה,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
אור בראשית צימרים באמירים,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,5
אורחן אור הזוהר,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
אורחן יואב,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,4
אורה דירות אירוח,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
אורכידאה אוקיינוס סוויטות,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,4
אודם האלה,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
אופרה הרברט סמואל תל אביב,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,4
אוויר הרים,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
אוויר ואווירה באמירים,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,5
אוליב על המים,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
אוליאה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5
און בר קייט בכפר,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,4.5
אלברטו תל אביב,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5
אלמא מרכז אמנויות מלון יוקרה,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,4
אמיר חדרי אירוח,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3
אמירים לינה וארוחת בוקר,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
אינטרנשיונל רזידנס בוטיק,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
אירוח נדיה ים המלח,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,3.5
אירוח בדואי מדהים,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,4.5
אירוח דרוזי מצפה הנוף,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4
אירוח כפרי ניר דוד,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,4.5
אירוח כפרי בקיבוץ שער הגולן,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.5
אירוח כפרי בית אורן,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3.5
אירוח כפרי פרוד,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1
אירוח כפרי קיבוץ צאלים,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.5
אירוח משק קורלנדר,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,4
אירוס המדבר,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,4
איביס סטייל ירושלים שייח ג'ראח,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3.5
איביס סטיילס ירושלים מרכז העיר,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4
איביס ירושלים מרכז העיר,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4
איתן בקתות עץ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
לב המדבר,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,5
לב ירושלים,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,3.5
לבונטין 14,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,4
לה סיאסטה צימרים בערבה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
לה בריזה,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,4.5
לה מרקיז,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
לפאז,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,4
לאונרדו רויאל ריזורט איל,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,4.5
לאונרדו בוטיק ירושלים,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,4.5
לאונרדו ביץ' תל אביב,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,4
לאונרדו גורדון ביץ' תל אביב,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5
לאונרדו פריוילג' אילת הכל כלול,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,4
לאונרדו פלאזה טבריה,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,4
לאונרדו פלאזה אשדוד,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,4.5
לאונרדו פלאזה אילת,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,4.5
לאונרדו פלאזה ירושלים,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,4.5
לאונרדו פלאזה ים המלח,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,4
לאונרדו קלאב טבריה הכל כלול,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,4
לאונרדו קלאב ים המלח הכל כלול,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,4
לאונרדו אין ים המלח,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,4
לי גליל - בקתות עץ ביער.,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,5
לינה כפרית גן הכרמים,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,3
לינה וארוחת בוקר באשקלון,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
לינה וארוחת בוקר עמק יזרעאל - נומה עמק,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4.5
לינה וארוחת בוקר Israelbed.net,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.5
ליד השמורה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
לישנסקי מאז 1936,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,5
לילות בראשית,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,5
לייטהאוס תל אביב,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4
לייק הום,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,5
מנרה לודג',0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3
